t[s](1)             csi[m](2)           T0[K](3)            P0[Pa](4)           T[K](5)             P[Pa](6)            v[m/s](7)           rho[kg/m3](8)       MW[kg/kmol](9)      NO_x(10)        NH3_x(11)       H2_x(12)        O2_x(13)        H_x(14)         O_x(15)         OH_x(16)        HO2_x(17)       H2O_x(18)       H2O2_x(19)      NH2_x(20)       NH_x(21)        N_x(22)         NNH_x(23)       NH2OH_x(24)     H2NO_x(25)      HNOH_x(26)      HNO_x(27)       HON_x(28)       NO2_x(29)       HONO_x(30)      HNO2_x(31)      NO3_x(32)       HONO2_x(33)     N2O_x(34)       N2H4_x(35)      N2H3_x(36)      N2H2_x(37)      H2NN_x(38)      AR_x(39)        HE_x(40)        N2_x(41)        NO_w(42)        NH3_w(43)       H2_w(44)        O2_w(45)        H_w(46)         O_w(47)         OH_w(48)        HO2_w(49)       H2O_w(50)       H2O2_w(51)      NH2_w(52)       NH_w(53)        N_w(54)         NNH_w(55)       NH2OH_w(56)     H2NO_w(57)      HNOH_w(58)      HNO_w(59)       HON_w(60)       NO2_w(61)       HONO_w(62)      HNO2_w(63)      NO3_w(64)       HONO2_w(65)     N2O_w(66)       N2H4_w(67)      N2H3_w(68)      N2H2_w(69)      H2NN_w(70)      AR_w(71)        HE_w(72)        N2_w(73)        
0.000000e+00        0.000000e+00        2.117196e+03        5.066250e+05        2.117196e+03        5.066250e+05        1.597888e+01        7.107098e-01        2.469453e+01        2.395013e-03    1.364238e-05    1.049994e-02    3.750789e-04    2.961711e-04    2.117291e-05    1.178061e-03    1.699011e-07    3.031741e-01    5.505974e-08    1.528107e-06    2.681075e-07    9.886247e-08    2.316410e-09    8.020831e-10    1.089049e-09    2.650807e-10    2.529078e-07    1.173455e-08    2.156620e-07    6.757283e-08    4.743660e-10    4.306479e-14    1.032072e-12    4.396401e-06    2.613027e-12    3.713557e-11    3.364247e-09    2.349816e-11    0.000000e+00    7.061412e-34    6.820397e-01    2.910149e-03    9.408693e-06    8.571889e-04    4.860094e-04    1.208933e-05    1.371742e-05    8.113246e-04    2.270849e-07    2.211697e-01    7.583872e-08    9.915089e-07    1.630172e-07    5.607583e-08    2.722337e-09    1.072821e-09    1.412196e-09    3.437365e-10    3.176283e-07    1.473749e-08    4.017704e-07    1.286439e-07    9.030893e-10    1.081288e-13    2.633495e-12    7.835693e-06    3.390914e-12    4.667486e-11    4.091122e-09    2.857514e-11    0.000000e+00    1.144659e-34    7.737202e-01    
1.525055e-07        2.436871e-06        2.117196e+03        5.066250e+05        2.117203e+03        5.066250e+05        1.597893e+01        7.107076e-01        2.469454e+01        2.394953e-03    1.350811e-05    1.049921e-02    3.746742e-04    2.961064e-04    2.116554e-05    1.177885e-03    1.697257e-07    3.031754e-01    5.504372e-08    1.507601e-06    2.633089e-07    9.675869e-08    2.314883e-09    7.937922e-10    1.070683e-09    2.605208e-10    2.522746e-07    1.173456e-08    2.156377e-07    6.756100e-08    4.742859e-10    4.304431e-14    1.031767e-12    4.373160e-06    2.058415e-12    3.443658e-11    3.049669e-09    2.127964e-11    0.000000e+00    7.061415e-34    6.820401e-01    2.910074e-03    9.316092e-06    8.571290e-04    4.854848e-04    1.208669e-05    1.371264e-05    8.112030e-04    2.268504e-07    2.211705e-01    7.581663e-08    9.782036e-07    1.600995e-07    5.488252e-08    2.720542e-09    1.061731e-09    1.388380e-09    3.378234e-10    3.168329e-07    1.473749e-08    4.017248e-07    1.286213e-07    9.029365e-10    1.080773e-13    2.632715e-12    7.794267e-06    2.671196e-12    4.328253e-11    3.708575e-09    2.587727e-11    0.000000e+00    1.144659e-34    7.737204e-01    
7.146682e-07        1.141968e-05        2.117196e+03        5.066250e+05        2.117230e+03        5.066250e+05        1.597911e+01        7.106998e-01        2.469458e+01        2.394738e-03    1.301492e-05    1.049654e-02    3.731942e-04    2.958510e-04    2.113903e-05    1.177230e-03    1.690674e-07    3.031798e-01    5.497217e-08    1.446258e-06    2.509462e-07    9.132229e-08    2.309950e-09    7.612124e-10    1.023969e-09    2.491427e-10    2.504371e-07    1.173459e-08    2.155409e-07    6.750698e-08    4.739175e-10    4.296456e-14    1.030584e-12    4.283500e-06    1.465324e-12    2.478496e-11    2.165190e-09    1.518092e-11    0.000000e+00    7.061426e-34    6.820417e-01    2.909808e-03    8.975938e-06    8.569093e-04    4.835663e-04    1.207624e-05    1.369545e-05    8.107509e-04    2.259702e-07    2.211734e-01    7.571796e-08    9.383999e-07    1.525824e-07    5.179886e-08    2.714740e-09    1.018152e-09    1.327803e-09    3.230687e-10    3.145247e-07    1.473750e-08    4.015439e-07    1.285183e-07    9.022336e-10    1.078769e-13    2.629694e-12    7.634455e-06    1.901542e-12    3.115159e-11    2.632993e-09    1.846085e-11    0.000000e+00    1.144659e-34    7.737209e-01    
2.036038e-06        3.253429e-05        2.117196e+03        5.066250e+05        2.117292e+03        5.066250e+05        1.597952e+01        7.106815e-01        2.469467e+01        2.394263e-03    1.191910e-05    1.049027e-02    3.697824e-04    2.952445e-04    2.107584e-05    1.175653e-03    1.675278e-07    3.031901e-01    5.480322e-08    1.322515e-06    2.296873e-07    8.369006e-08    2.299898e-09    6.941896e-10    9.459111e-10    2.300290e-10    2.473005e-07    1.173465e-08    2.152951e-07    6.738188e-08    4.730640e-10    4.277318e-14    1.027696e-12    4.064757e-06    1.197497e-12    1.208728e-11    1.080235e-09    7.420914e-12    0.000000e+00    7.061452e-34    6.820453e-01    2.909220e-03    8.220159e-06    8.563946e-04    4.791436e-04    1.205144e-05    1.365446e-05    8.096615e-04    2.239116e-07    2.211801e-01    7.548497e-08    8.581067e-07    1.396558e-07    4.746962e-08    2.702916e-09    9.285031e-10    1.226579e-09    2.982824e-10    3.105843e-07    1.473753e-08    4.010846e-07    1.282797e-07    9.006055e-10    1.073960e-13    2.622315e-12    7.244564e-06    1.553978e-12    1.519215e-11    1.313621e-09    9.024216e-12    0.000000e+00    1.144659e-34    7.737222e-01    
4.821729e-06        7.704946e-05        2.117196e+03        5.066250e+05        2.117419e+03        5.066250e+05        1.598036e+01        7.106442e-01        2.469486e+01        2.393376e-03    9.906937e-06    1.047721e-02    3.628750e-04    2.939470e-04    2.093974e-05    1.172217e-03    1.643943e-07    3.032112e-01    5.443947e-08    1.096828e-06    1.914813e-07    7.085080e-08    2.281054e-09    5.745208e-10    8.076778e-10    1.961854e-10    2.416209e-07    1.173478e-08    2.147687e-07    6.711717e-08    4.712565e-10    4.236449e-14    1.021506e-12    3.599010e-06    8.130659e-13    4.330776e-12    4.061010e-10    2.652524e-12    0.000000e+00    7.061507e-34    6.820526e-01    2.908120e-03    6.832394e-06    8.553214e-04    4.701899e-04    1.199839e-05    1.356618e-05    8.072894e-04    2.197218e-07    2.211938e-01    7.498336e-08    7.116653e-07    1.164247e-07    4.018679e-08    2.680750e-09    7.684359e-10    1.047321e-09    2.543949e-10    3.034489e-07    1.473757e-08    4.001008e-07    1.277747e-07    8.971574e-10    1.063690e-13    2.606500e-12    6.414419e-06    1.055098e-12    5.443182e-12    4.938360e-10    3.225581e-12    0.000000e+00    1.144659e-34    7.737245e-01    
1.150340e-05        1.838313e-04        2.117196e+03        5.066250e+05        2.117709e+03        5.066250e+05        1.598225e+01        7.105603e-01        2.469533e+01        2.391745e-03    6.400147e-06    1.044693e-02    3.477583e-04    2.907119e-04    2.059403e-05    1.163287e-03    1.574538e-07    3.032592e-01    5.351736e-08    7.047517e-07    1.247079e-07    4.854384e-08    2.241535e-09    3.674873e-10    5.689753e-10    1.377353e-10    2.312490e-07    1.173505e-08    2.135434e-07    6.646671e-08    4.668038e-10    4.136492e-14    1.006415e-12    2.581089e-06    3.344667e-13    1.460590e-12    1.412792e-10    9.071184e-13    0.000000e+00    7.061639e-34    6.820692e-01    2.906084e-03    4.413827e-06    8.528335e-04    4.505941e-04    1.186612e-05    1.334195e-05    8.011240e-04    2.104415e-07    2.212246e-01    7.371190e-08    4.572621e-07    7.582361e-08    2.753370e-08    2.634257e-09    4.915142e-10    7.377804e-10    1.785989e-10    2.904175e-07    1.473764e-08    3.978107e-07    1.265340e-07    8.886639e-10    1.038573e-13    2.567943e-12    4.600120e-06    4.340222e-13    1.835723e-12    1.717983e-10    1.103074e-12    0.000000e+00    1.144659e-34    7.737289e-01    
1.909372e-05        3.051493e-04        2.117196e+03        5.066250e+05        2.118016e+03        5.066250e+05        1.598422e+01        7.104724e-01        2.469585e+01        2.390462e-03    3.945051e-06    1.041459e-02    3.326865e-04    2.868342e-04    2.016912e-05    1.151979e-03    1.503993e-07    3.033097e-01    5.238642e-08    4.314966e-07    7.782829e-08    3.293020e-08    2.201832e-09    2.240510e-10    4.035644e-10    9.722653e-11    2.231861e-07    1.173534e-08    2.121769e-07    6.569117e-08    4.614768e-10    4.018956e-14    9.886665e-13    1.709940e-06    1.250335e-13    5.546659e-13    5.431560e-11    3.559857e-13    0.000000e+00    7.061789e-34    6.820866e-01    2.904463e-03    2.720626e-06    8.501761e-04    4.310563e-04    1.170759e-05    1.306640e-05    7.933195e-04    2.010086e-07    2.212568e-01    7.215267e-08    2.799608e-07    4.731936e-08    1.867736e-08    2.587543e-09    2.996618e-10    5.232838e-10    1.260693e-10    2.802857e-07    1.473769e-08    3.952566e-07    1.250550e-07    8.785043e-10    1.009041e-13    2.522604e-12    3.047460e-06    1.622468e-13    6.971099e-13    6.604744e-11    4.328763e-13    0.000000e+00    1.144659e-34    7.737322e-01    
2.830795e-05        4.524419e-04        2.117196e+03        5.066250e+05        2.118364e+03        5.066250e+05        1.598644e+01        7.103737e-01        2.469647e+01        2.389377e-03    2.237828e-06    1.037830e-02    3.167678e-04    2.819257e-04    1.962024e-05    1.136957e-03    1.427879e-07    3.033667e-01    5.092822e-08    2.427405e-07    4.534939e-08    2.214413e-08    2.157661e-09    1.257271e-10    2.900988e-10    6.943976e-11    2.164906e-07    1.173565e-08    2.105168e-07    6.470433e-08    4.546781e-10    3.872341e-14    9.663829e-13    1.028649e-06    3.944224e-14    1.878891e-13    1.854967e-11    1.293966e-13    0.000000e+00    7.061967e-34    6.821061e-01    2.903072e-03    1.543234e-06    8.471922e-04    4.104203e-04    1.150695e-05    1.271049e-05    7.829551e-04    1.908312e-07    2.212928e-01    7.014251e-08    1.574893e-07    2.757159e-08    1.255940e-08    2.535571e-09    1.681522e-10    3.761486e-10    9.003715e-11    2.718704e-07    1.473771e-08    3.921543e-07    1.231732e-07    8.655398e-10    9.722062e-14    2.465685e-12    1.833214e-06    5.118002e-14    2.361350e-13    2.255572e-11    1.573414e-13    0.000000e+00    1.144659e-34    7.737347e-01    
3.863132e-05        6.174879e-04        2.117196e+03        5.066250e+05        2.118727e+03        5.066250e+05        1.598875e+01        7.102713e-01        2.469715e+01        2.388499e-03    1.224631e-06    1.034115e-02    3.013180e-04    2.763193e-04    1.898535e-05    1.119117e-03    1.352485e-07    3.034258e-01    4.924462e-08    1.317551e-07    2.626641e-08    1.581042e-08    2.111252e-09    6.848666e-11    2.240298e-10    5.326374e-11    2.111756e-07    1.173598e-08    2.086511e-07    6.356594e-08    4.468158e-10    3.707352e-14    9.410019e-13    5.980685e-07    1.162676e-14    6.155977e-14    6.123220e-12    4.923718e-14    0.000000e+00    7.062159e-34    6.821261e-01    2.901927e-03    8.444978e-07    8.441365e-04    3.903922e-04    1.127781e-05    1.229886e-05    7.706487e-04    1.807501e-07    2.213298e-01    6.782186e-08    8.547998e-08    1.596906e-08    8.966890e-09    2.480965e-09    9.159416e-11    2.904742e-10    6.906108e-11    2.651885e-07    1.473772e-08    3.886681e-07    1.210029e-07    8.505496e-10    9.307579e-14    2.400861e-12    1.065823e-06    1.508640e-14    7.736489e-14    7.445407e-12    5.986896e-14    0.000000e+00    1.144659e-34    7.737364e-01    
5.067858e-05        8.101238e-04        2.117196e+03        5.066250e+05        2.119121e+03        5.066250e+05        1.599124e+01        7.101607e-01        2.469789e+01        2.387708e-03    6.407411e-07    1.030183e-02    2.856878e-04    2.698258e-04    1.824663e-05    1.097816e-03    1.274934e-07    3.034894e-01    4.728929e-08    6.853312e-08    1.542110e-08    1.218249e-08    2.060005e-09    3.627304e-11    1.869835e-10    4.419774e-11    2.064570e-07    1.173633e-08    2.064867e-07    6.223261e-08    4.375893e-10    3.519637e-14    9.116388e-13    3.440188e-07    3.204783e-15    2.089979e-14    2.089177e-12    2.206449e-14    0.000000e+00    7.062372e-34    6.821477e-01    2.900878e-03    4.418378e-07    8.409017e-04    3.701303e-04    1.101245e-05    1.181995e-05    7.559573e-04    1.703808e-07    2.213696e-01    6.512693e-08    4.446154e-08    9.375206e-09    6.909097e-09    2.420671e-09    4.851015e-11    2.424331e-10    5.730449e-11    2.592553e-07    1.473772e-08    3.846249e-07    1.184612e-07    8.329612e-10    8.836042e-14    2.325874e-12    6.130604e-07    4.158270e-15    2.626490e-14    2.540216e-12    2.682806e-14    0.000000e+00    1.144659e-34    7.737376e-01    
