
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   0.0125887
T[K]                          1773.010            1815.844
P[atm]                        5.00000             5.00000
rho[kg/m3]                    0.89208             0.87395
MW[kg/kmol]                   25.95743            26.04426
Phi[-]                        0.00000             0.64399
H[J/kg]                       -1.188521e+04       -1.188521e+04
U[J/kg]                       -5.798005e+05       -5.915817e+05
Conv.(%) O2                   0.000000e+00        5.414421e+00
Conv.(%) N2                   0.000000e+00        1.067037e-04
Total species (kmol/s)        2.063032e-03        2.056154e-03
Element(kmol/s) H             9.074935e-04        9.074935e-04
Element(kmol/s) O             7.045823e-04        7.045823e-04
Element(kmol/s) N             2.953069e-03        2.953069e-03
Element(kmol/s) HE            1.019004e-36        1.019004e-36
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.741868e-03        1.737377e-03
NH3                           4.725524e-08        9.472270e-11
H2                            5.191168e-04        3.254189e-06
O2                            7.800790e-02        7.378422e-02
H                             4.373787e-06        6.696293e-08
O                             3.285356e-06        1.394197e-05
OH                            3.282947e-04        4.979461e-04
HO2                           3.585770e-08        1.674712e-06
H2O                           1.477922e-01        1.523501e-01
H2O2                          1.776109e-08        2.190508e-07
NH2                           3.541852e-09        1.298692e-11
NH                            1.309214e-09        3.923354e-12
N                             2.150669e-09        1.242017e-11
NNH                           9.671850e-10        1.244583e-11
NH2OH                         5.035946e-12        7.289947e-14
H2NO                          1.312879e-10        6.825902e-13
HNOH                          3.098294e-11        1.119828e-13
HNO                           1.088868e-07        6.403540e-09
HON                           9.801013e-09        9.800162e-09
NO2                           1.878462e-07        8.612094e-06
HONO                          4.501089e-08        3.354806e-07
HNO2                          3.185174e-10        1.747080e-09
NO3                           1.744955e-14        1.744054e-11
HONO2                         7.130959e-13        2.325910e-10
N2O                           8.408275e-08        6.501571e-07
N2H4                          3.812815e-17        5.804548e-21
N2H3                          1.576932e-15        3.941706e-19
N2H2                          2.211240e-13        3.619733e-16
H2NN                          3.614880e-15        4.334471e-18
AR                            0.000000e+00        0.000000e+00
HE                            7.617176e-35        7.617176e-35
N2                            7.716024e-01        7.716016e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Inlet               Outlet
-----------------------------------------------------------------------------
NO                            1.506846e-03        1.507988e-03
NH3                           7.202306e-08        1.448525e-10
H2                            6.683998e-03        4.204015e-05
O2                            6.328161e-02        6.005549e-02
H                             1.126312e-04        1.730159e-06
O                             5.330297e-06        2.269569e-05
OH                            5.010694e-04        7.625471e-04
HO2                           2.820014e-08        1.321476e-06
H2O                           2.129507e-01        2.202523e-01
H2O2                          1.355419e-08        1.677255e-07
NH2                           5.737838e-09        2.110932e-11
NH                            2.263326e-09        6.805252e-12
N                             3.985567e-09        2.309376e-11
NNH                           8.650554e-10        1.116885e-11
NH2OH                         3.957621e-12        5.748147e-14
H2NO                          1.064236e-10        5.551670e-13
HNOH                          2.511515e-11        9.107827e-14
HNO                           9.113377e-08        5.377426e-09
HON                           8.203042e-09        8.229766e-09
NO2                           1.059886e-07        4.875462e-06
HONO                          2.485200e-08        1.858495e-07
HNO2                          1.758640e-10        9.678476e-10
NO3                           7.305100e-15        7.325751e-12
HONO2                         2.937558e-13        9.613502e-11
N2O                           4.958927e-08        3.847241e-07
N2H4                          3.088401e-17        4.717443e-21
N2H3                          1.318806e-15        3.307521e-19
N2H2                          1.911359e-13        3.139303e-16
H2NN                          3.124642e-15        3.759177e-18
AR                            0.000000e+00        0.000000e+00
HE                            4.939354e-34        4.955876e-34
N2                            7.149575e-01        7.173482e-01
-----------------------------------------------------------------------------
