
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.00180409
Length[m]                     0                   0.171
T[K]                          1200.000            1200.000
P[atm]                        5.00000             5.00000
V[m3]                         94.78869            94.78433
rho[kg/m3]                    1.42230             1.42230
MW[kg/kmol]                   28.00913            28.01042
Phi[-]                        0.16697             0.16697
H[J/kg]                       4.583246e+05        4.575862e+05
U[J/kg]                       1.021067e+05        1.013847e+05
E[J/kg]                       4.628171e+05        4.620783e+05
Conv.(%) NO                   0.000e+00           7.209e+00
Conv.(%) NH3                  0.000e+00           8.966e+01
Conv.(%) H2                   0.000e+00           9.259e+01
Conv.(%) O2                   0.000e+00           -6.834e-03
Conv.(%) H                    0.000e+00           9.993e+01
Conv.(%) O                    0.000e+00           9.890e+01
Conv.(%) OH                   0.000e+00           9.610e+01
Conv.(%) HO2                  0.000e+00           6.952e+01
Conv.(%) H2O                  0.000e+00           -8.631e-02
Conv.(%) H2O2                 0.000e+00           7.065e+01
Conv.(%) NH2                  0.000e+00           9.929e+01
Conv.(%) NH                   0.000e+00           1.000e+02
Conv.(%) N                    0.000e+00           1.000e+02
Conv.(%) NNH                  0.000e+00           9.997e+01
Conv.(%) NH2OH                0.000e+00           9.016e+01
Conv.(%) H2NO                 0.000e+00           9.938e+01
Conv.(%) HNOH                 0.000e+00           9.979e+01
Conv.(%) HNO                  0.000e+00           9.600e+01
Conv.(%) HON                  0.000e+00           1.322e-07
Conv.(%) NO2                  0.000e+00           -1.620e+03
Conv.(%) HONO                 0.000e+00           -4.391e+02
Conv.(%) HNO2                 0.000e+00           -1.072e+02
Conv.(%) NO3                  0.000e+00           -1.612e+03
Conv.(%) HONO2                0.000e+00           -8.660e+03
Conv.(%) N2O                  0.000e+00           -7.660e+00
Conv.(%) N2H4                 0.000e+00           9.945e+01
Conv.(%) N2H3                 0.000e+00           9.833e+01
Conv.(%) N2H2                 0.000e+00           9.531e+01
Conv.(%) H2NN                 0.000e+00           9.966e+01
Conv.(%) HE                   0.000e+00           0.000e+00
Conv.(%) N2                   0.000e+00           8.723e-07
Total species (kmol/m2/s)     4.813132e+00        4.812910e+00
Element(kmol/m2/s) H          6.377833e-01        6.377833e-01
Element(kmol/m2/s) O          1.909843e+00        1.909843e+00
Element(kmol/m2/s) N          7.397242e+00        7.397242e+00
Element(kmol/m2/s) HE         7.161528e-34        7.161528e-34
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            4.844618e-04        4.495387e-04
NH3                           8.071853e-13        8.345632e-14
H2                            1.781077e-07        1.319803e-08
O2                            1.885155e-01        1.885284e-01
H                             2.526849e-09        1.825239e-12
O                             1.294151e-06        1.418838e-08
OH                            6.928991e-05        2.702152e-06
HO2                           2.988235e-07        9.108150e-08
H2O                           4.257534e-02        4.261209e-02
H2O2                          3.407015e-08        9.999385e-09
NH2                           7.768804e-14        5.540925e-16
NH                            6.045427e-14        1.523416e-18
N                             3.797448e-13        1.005463e-17
NNH                           4.385428e-13        1.455027e-16
NH2OH                         8.199384e-16        8.065981e-17
H2NO                          4.346252e-14        2.692380e-16
HNOH                          5.994674e-15        1.235192e-17
HNO                           6.744703e-10        2.699530e-11
HON                           2.735886e-09        2.735886e-09
NO2                           3.277310e-06        5.638385e-05
HONO                          1.004926e-07        5.417783e-07
HNO2                          4.547406e-10        9.423771e-10
NO3                           4.828900e-12        8.267227e-11
HONO2                         9.218625e-11        8.075704e-09
N2O                           1.374519e-07        1.479813e-07
N2H4                          1.931187e-24        1.064848e-26
N2H3                          1.795334e-21        2.995860e-23
N2H2                          4.073723e-18        1.910785e-19
H2NN                          2.808762e-20        9.568323e-23
AR                            0.000000e+00        0.000000e+00
HE                            2.126493e-35        2.126493e-35
N2                            7.683501e-01        7.683501e-01
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
NO                            4.522213e-04        4.196417e-04
NH3                           1.327495e-12        1.372583e-13
H2                            2.474525e-06        1.833741e-07
O2                            1.650152e-01        1.650340e-01
H                             7.021313e-08        5.071996e-11
O                             2.265644e-06        2.484046e-08
OH                            1.141148e-04        4.450427e-06
HO2                           2.535838e-07        7.729598e-08
H2O                           6.619475e-02        6.625493e-02
H2O2                          2.805537e-08        8.234462e-09
NH2                           1.358032e-13        9.686304e-16
NH                            1.127720e-13        2.841927e-18
N                             7.593576e-13        2.010668e-17
NNH                           4.232376e-13        1.404312e-16
NH2OH                         6.953001e-16        6.840191e-17
H2NO                          3.801597e-14        2.355091e-16
HNOH                          5.243446e-15        1.080453e-17
HNO                           6.091226e-10        2.438091e-11
HON                           2.470813e-09        2.470926e-09
NO2                           1.995318e-06        3.432964e-05
HONO                          5.987090e-08        3.227924e-07
HNO2                          2.709227e-10        5.614698e-10
NO3                           2.181364e-12        3.734735e-11
HONO2                         4.097722e-11        3.589854e-09
N2O                           8.747208e-08        9.417712e-08
N2H4                          1.687913e-24        9.307509e-27
N2H3                          1.620135e-21        2.703631e-23
N2H2                          3.799581e-18        1.782281e-19
H2NN                          2.619746e-20        8.924833e-23
AR                            0.000000e+00        0.000000e+00
HE                            1.487914e-34        1.487983e-34
N2                            7.682165e-01        7.682519e-01
-----------------------------------------------------------------------------
